alpha,Mach,ci,omega_i,success,source,primary_ci,primary_omega_i,primary_success,primary_mismatch,secondary_ci,secondary_omega_i,secondary_success,secondary_stage1_mismatch,secondary_stage2_mismatch,ci_abs_diff,omega_abs_diff
0.09,0.13999999999999999,0.835569824299108,0.07520128418691971,True,primary,0.835569824299108,0.07520128418691971,True,4.5585230017564787e-07,,,,,,,
0.15999999999999998,0.13999999999999999,0.7364713910568929,0.11783542256910284,True,primary,0.7364713910568929,0.11783542256910284,True,5.175123833213273e-07,,,,,,,
0.22999999999999995,0.13999999999999999,0.6470526797897498,0.14882211635164241,True,primary,0.6470526797897498,0.14882211635164241,True,4.924810488395482e-06,,,,,,,
0.3,0.13999999999999999,0.5656956860551879,0.16970870581655637,True,primary,0.5656956860551879,0.16970870581655637,True,1.979393298552623e-06,,,,,,,
0.37,0.13999999999999999,0.4909557088130262,0.1816536122608197,True,primary,0.4909557088130262,0.1816536122608197,True,1.3998543852387912e-07,,,,,,,
0.43999999999999995,0.13999999999999999,0.4218283059382851,0.18560445461284542,True,primary,0.4218283059382851,0.18560445461284542,True,3.0315762224097584e-06,,,,,,,
0.5099999999999999,0.13999999999999999,0.3574190286280536,0.1822837046003073,True,primary,0.3574190286280536,0.1822837046003073,True,8.948915226399817e-07,,,,,,,
0.58,0.13999999999999999,0.29705617978974985,0.1722925842780549,True,primary,0.29705617978974985,0.1722925842780549,True,7.195663946982234e-08,,,,,,,
0.6499999999999999,0.13999999999999999,0.24015282626632786,0.15609933707311308,True,primary,0.24015282626632786,0.15609933707311308,True,2.865522934495518e-06,,,,,,,
0.72,0.13999999999999999,0.1862827543054645,0.13412358309993444,True,primary,0.1862827543054645,0.13412358309993444,True,4.323901924008222e-08,,,,,,,
0.7899999999999999,0.13999999999999999,0.1350061141150257,0.1066548301508703,True,primary,0.1350061141150257,0.1066548301508703,True,3.825191901996733e-07,,,,,,,
0.8599999999999999,0.13999999999999999,0.08598387558249466,0.07394613300094541,True,secondary_neutral,0.08600646259266245,0.0739655578296897,True,4.1404300976048e-07,0.08598387558249466,0.07394613300094541,True,6.546376625738657e-05,5.539775706914555e-28,2.2587010167787747e-05,1.9424828744285527e-05
0.9299999999999999,0.13999999999999999,0.03900082833378181,0.03627077035041708,True,secondary_neutral,0.03898242266861322,0.0362536530818103,True,1.725613074166684e-08,0.03900082833378181,0.03627077035041708,True,0.00011705568729279896,9.663546088957395e-28,1.8405665168585994e-05,1.71172686067797e-05
1.0,0.13999999999999999,0.0,0.0,True,primary,0.0,0.0,True,0.0,0.0010442295105619946,0.0010442295105619946,False,0.0641461941957144,1.757455879087579e-25,0.0010442295105619946,0.0010442295105619946
0.02,0.20999999999999996,0.9250296494598377,0.018500592989196755,True,primary,0.9250296494598377,0.018500592989196755,True,9.421785540381783e-08,,,,,,,
0.09,0.20999999999999996,0.8165044744555487,0.07348540270099939,True,primary,0.8165044744555487,0.07348540270099939,True,1.1111219065051102e-06,,,,,,,
0.15999999999999998,0.20999999999999996,0.7195459982289835,0.11512735971663733,True,primary,0.7195459982289835,0.11512735971663733,True,4.095108750320348e-06,,,,,,,
0.22999999999999995,0.20999999999999996,0.6319119012488891,0.14533973728724445,True,primary,0.6319119012488891,0.14533973728724445,True,5.880961366656196e-07,,,,,,,
0.3,0.20999999999999996,0.5519973629195728,0.16559920887587185,True,primary,0.5519973629195728,0.16559920887587185,True,3.953644988228741e-07,,,,,,,
0.37,0.20999999999999996,0.4784880446970721,0.1770405765379167,True,primary,0.4784880446970721,0.1770405765379167,True,9.059539914091363e-07,,,,,,,
